YYYYMM,행정동코드,생활비용지수,생활비용지수_lag1,생활비용지수_lag2,생활비용지수_lag3,생활비용지수_roll3_mean,생활비용지수_roll3_std,생활비용지수_change1,생활비용지수_change3_mean,YEAR,MONTH,MONTH_SIN,MONTH_COS,KOSPI_lag1,M2_lag1,FX_lag1,HOUSE_SALE_lag1,RENT_SALE_lag1,당월_매출_금액_lag1,생활인구합계_lag1,전체승객수_lag1,아파트_평균_시가_lag1,AREA_M2,LAT,LON,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적
202411,1111053000,9.590538985442642,9.559484033690397,9.577414066243257,9.554702610713303,9.563866903548986,0.011973291703632104,-0.00187211625485173,0.025794169903460656,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,105623849582.0,22672722.0,2849602.0,371237211.0,1165780.0,126.97014,37.57411,89.0,309.0,158.0,54.0,81.0,14.0,73.0
202411,1111054000,9.689515571415205,9.633549073038443,9.6472041075383,9.634118397064238,9.638290525880327,0.007724635003778647,-0.001415439576860078,0.0025718347841581965,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,36999175472.0,3976155.0,155779.0,401044841.0,1361445.0,126.98111,37.58801,9.0,12.0,19.0,5.0,2.0,14.0,111.0
202411,1111055000,8.49266061204897,8.45038614283858,8.436898785041139,8.394182162404814,8.427155696761512,0.02934139875786807,0.0015986155744045494,-0.039572605557693076,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,7632601155.0,8163737.0,333087.0,259634651.0,2202073.0,126.96256,37.5967,189.0,712.0,662.0,162.0,46.0,130.0,82.0
202411,1111056000,8.370148481226362,8.371033723538423,8.390964647025587,8.454689312488618,8.405562561017542,0.043696552613889716,-0.0023752839304631568,-0.0010872543971353437,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,8504307727.0,11653142.0,286003.0,480839259.0,9017316.0,126.96927,37.61396,294.0,527.0,915.0,314.0,472.0,538.0,124.0
202411,1111057000,9.200932633724133,9.136805138234141,9.148538624969198,9.736168639462981,9.340504134222106,0.3427057326750893,-0.001282553117612939,0.038151690845159715,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,8170745406.0,3862692.0,65300.0,660258193.0,467575.0,126.95899,37.57774,47.0,111.0,256.0,108.0,12.0,0.0,82.0
202411,1111058000,8.75416226194312,8.725689855001283,8.747824312143736,8.801278946888894,8.758264371344637,0.03886095508588494,-0.002530281399424794,-0.017194726809688143,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,9553877218.0,8715446.0,320648.0,235058041.0,345990.0,126.96416,37.57105,231.0,1202.0,194.0,24.0,2.0,1.0,50.0
202411,1111060000,9.286042152604836,9.248825733666095,9.258347891737408,9.289050506242045,9.26540804388185,0.021021236724411113,-0.0010284943040227423,0.019774455956540555,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,26555372971.0,6801080.0,72402.0,284759882.0,605383.0,126.98662,37.58268,126.0,683.0,78.0,20.0,8.0,41.0,67.0
202411,1111061500,10.17961104370248,10.146888261340694,10.164923524382626,10.063916914224635,10.125242899982652,0.05386998306239092,-0.001774264508598744,0.02996515983037888,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,577367356574.0,40932330.0,5869856.0,278382323.0,2394166.0,126.98973,37.57508,9.0,62.0,8.0,2.0,10.0,0.0,49.0
202411,1111063000,9.754989241657757,9.726044509427371,9.75530095993776,9.704808042463355,9.728717837276163,0.02535239022478137,-0.0029990310530179087,-0.010359192363598465,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,105144276937.0,12755869.0,2152598.0,127248788.0,633463.0,127.00424,37.57302,10.0,56.0,0.0,0.0,3.0,0.0,42.0
202411,1111064000,9.023697951674613,8.994210301483248,9.02369145820766,9.061757956097047,9.026553238595985,0.03386463865449418,-0.003267083860407971,-0.02330022556594946,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,37826308874.0,17224658.0,1606849.0,133464799.0,755902.0,127.00307,37.57969,212.0,1201.0,225.0,15.0,1.0,1.0,47.0
