YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
201912,11230600,답십리1동,91,2692,2793,608,118,0,68,358508751
201912,11230610,답십리2동,116,2638,2976,853,2,0,70,260012142
201912,11230650,장안1동,349,4571,3972,1083,150,1,59,204060325
201912,11230660,장안2동,267,3638,3717,517,57,2,59,215602126
201912,11230705,청량리동,183,1173,1116,1123,302,90,64,178345749
201912,11230710,회기동,83,1205,849,42,1,0,53,155253764
201912,11230720,휘경1동,93,1115,775,290,0,0,50,150308562
201912,11230730,휘경2동,211,2528,2273,809,1,0,59,184309353
201912,11230740,이문1동,437,2760,1009,501,109,12,46,146871731
201912,11230750,이문2동,91,1778,2020,811,23,0,67,281936432
201912,11260520,면목2동,239,3326,1162,110,4,0,54,149008708
201912,11260540,면목4동,200,2740,1169,187,5,1,57,165459128
201912,11260550,면목5동,148,1364,300,27,0,0,51,137402406
201912,11260565,면목본동,465,4569,890,17,3,2,48,144860479
201912,11260570,면목7동,183,1531,2197,151,148,0,58,166254878
201912,11260575,면목3·8동,241,2580,1639,25,0,0,53,144301533
201912,11260580,상봉1동,221,2822,3579,477,15,6,58,187604600
201912,11260590,상봉2동,264,2751,755,156,141,24,44,145011243
201912,11260600,중화1동,259,3007,1701,39,0,0,55,152603722
201912,11260610,중화2동,253,2798,777,20,3,0,48,149665490
201912,11260620,묵1동,445,4824,2555,2062,24,17,59,176392502
201912,11260630,묵2동,229,2629,691,69,0,0,48,151547294
201912,11260655,망우본동,267,2904,2013,248,39,1,58,158999812
201912,11260660,망우3동,216,1795,238,5,8,1,50,140113025
201912,11260680,신내1동,187,6239,4544,1181,136,1,64,215840048
201912,11260690,신내2동,77,5645,1962,608,210,0,68,257420070
201912,11290525,성북동,274,1315,710,116,124,203,80,251457726
201912,11290555,삼선동,242,2364,1615,555,20,6,60,184643303
201912,11290575,동선동,192,2040,709,165,1,7,52,141683917
201912,11290580,돈암1동,85,1411,2193,858,0,0,68,235235256
201912,11290590,돈암2동,126,1752,3329,919,1445,0,80,315652532
201912,11290600,안암동,137,1790,453,237,23,100,56,150623756
201912,11290610,보문동,143,1739,1473,211,1,0,56,201345097
201912,11290620,정릉1동,131,2014,2174,626,0,0,63,198789913
201912,11290630,정릉2동,433,3421,2879,347,20,2,62,150436083
201912,11290640,정릉3동,232,2340,748,104,24,4,57,130646210
201912,11290650,정릉4동,396,4681,2716,926,9,2,63,160042808
201912,11290660,길음1동,178,4696,4983,1945,74,0,77,379937300
201912,11290685,길음2동,46,997,1097,614,103,107,73,282068092
201912,11290705,종암동,349,5472,3531,1267,23,0,60,197591506
201912,11290715,월곡1동,170,3543,2669,846,0,0,64,254065315
201912,11290725,월곡2동,117,1996,1483,603,88,60,63,208407162
201912,11290760,장위1동,471,3813,478,32,4,2,51,132714004
201912,11290770,장위2동,217,1341,512,54,3,1,58,148893928
201912,11290780,장위3동,92,1185,1117,147,0,0,60,201253297
201912,11290810,석관동,377,3951,1755,271,296,50,51,149946511
201912,11305534,삼양동,427,3731,1539,391,2,0,54,138061642
201912,11305535,미아동,438,3955,851,19,19,1,48,116814076
201912,11305545,송중동,498,3588,1571,374,3,0,53,129852475
201912,11305555,송천동,367,2778,983,95,0,1,51,153552735
201912,11305575,삼각산동,136,2396,4392,1681,0,0,84,365752537
201912,11305595,번1동,204,1914,764,0,3,0,49,121975950
201912,11305603,번2동,498,5401,745,115,1,0,45,81858513
201912,11305608,번3동,94,5239,1827,97,34,0,58,172270452
201912,11305615,수유1동,466,4097,697,42,1,0,51,116185046
201912,11305625,수유2동,366,3893,1231,694,3,0,53,127414142
201912,11305635,수유3동,382,3282,430,19,2,1,51,118006020
201912,11305645,우이동,518,3867,1335,208,74,35,59,135496765
201912,11305660,인수동,759,6096,1552,159,136,4,54,126805939
201912,11320511,창1동,195,5111,2981,186,156,78,64,197384233
201912,11320512,창2동,500,5192,2416,256,24,2,53,140185785
201912,11320513,창3동,215,2247,516,35,0,0,51,126084463
201912,11320514,창4동,98,4966,3831,551,676,0,75,314302692
201912,11320515,창5동,246,4227,2671,1180,211,160,58,177117910
201912,11320521,도봉1동,490,4104,1346,30,22,1,50,95872928
201912,11320522,도봉2동,131,3476,4947,337,3,0,66,184488971
201912,11320660,쌍문1동,407,4064,1904,113,46,2,55,122291925
201912,11320670,쌍문2동,322,4141,1266,10,3,55,54,118041184
201912,11320680,쌍문3동,253,2379,704,100,1,0,54,123930841
201912,11320681,쌍문4동,110,2186,3694,99,8,19,63,166201014
201912,11320690,방학1동,315,3145,2158,705,547,1,58,158569726
201912,11320700,방학2동,446,4177,598,2,9,0,50,108518836
201912,11320710,방학3동,130,3323,5167,450,140,0,71,183046724
201912,11350560,월계1동,309,3506,2593,580,1,0,53,136871862
201912,11350570,월계2동,129,7536,1795,450,158,0,64,210288794
201912,11350580,월계3동,104,9591,2188,524,328,0,60,269053386
201912,11350595,공릉1동,434,8445,3515,502,41,0,52,146999271
201912,11350600,공릉2동,280,5949,4257,1092,263,0,65,221426350
201912,11350611,하계1동,131,4635,2281,795,446,0,72,235113128
201912,11350612,하계2동,55,3074,2844,738,0,0,78,318489311
201912,11350619,중계본동,192,2749,1831,1639,440,0,70,222324608
201912,11350621,중계1동,79,3329,3564,981,66,0,79,396727534
201912,11350624,중계4동,74,4716,2202,300,34,0,63,214250769
201912,11350625,중계2·3동,76,9471,1880,282,16,0,57,219885371
201912,11350630,상계1동,300,7012,4605,896,265,5,62,176797397
201912,11350640,상계2동,170,2516,2236,253,248,8,55,166319575
201912,11350665,상계3·4동,284,3577,1862,435,5,0,55,129128483
201912,11350670,상계5동,240,4279,1820,2,0,0,51,119687370
201912,11350695,상계6·7동,151,10485,3112,50,0,0,56,274442492
201912,11350700,상계8동,73,8022,1068,0,0,0,55,240571617
201912,11350710,상계9동,71,5719,2539,0,0,0,59,239201169
201912,11350720,상계10동,52,4624,1378,420,0,0,62,294185003
201912,11380510,녹번동,700,5409,2714,288,58,4,54,148950294
201912,11380520,불광1동,744,6023,4522,981,59,3,55,175840484
201912,11380530,불광2동,713,5646,1176,109,23,19,50,123025345
201912,11380551,갈현1동,577,4107,1472,129,9,1,54,161536572
201912,11380552,갈현2동,738,5793,1800,299,124,16,54,143305148
201912,11380560,구산동,779,5730,3226,481,32,1,57,138734985
201912,11380570,대조동,834,6611,1262,122,7,0,50,141876725
201912,11380580,응암1동,496,4095,1949,178,142,1,55,155404845
201912,11380590,응암2동,231,2792,2262,458,43,1,57,193229484
201912,11380600,응암3동,623,4272,824,141,6,6,51,124377248
201912,11380625,역촌동,1296,9187,3410,221,74,9,55,146529019
201912,11380631,신사1동,641,5265,2652,160,11,0,55,140916622
201912,11380632,신사2동,387,3290,2015,56,2,4,53,130538212
201912,11380640,증산동,268,1921,1728,303,26,3,60,190056136
201912,11380650,수색동,174,1551,933,522,45,9,55,198120539
201912,11380690,진관동,374,4295,6817,2526,1659,848,97,417856561
201912,11410520,천연동,114,2116,1768,828,8,0,64,305473718
201912,11410555,북아현동,100,1589,738,130,10,17,60,313075561
201912,11410565,충현동,260,1618,1402,237,54,29,70,258257699
201912,11410585,신촌동,249,2988,854,191,25,6,49,152628660
201912,11410615,연희동,679,5129,2138,610,193,173,66,176044203
201912,11410620,홍제1동,329,3259,2266,786,26,24,62,161088672
201912,11410640,홍제3동,187,1959,1588,210,13,0,55,141258667
201912,11410655,홍제2동,116,1389,1907,545,59,1,69,251213445
201912,11410660,홍은1동,190,2365,2334,572,285,0,62,171751622
201912,11410685,홍은2동,676,4556,2093,305,209,159,60,138441256
201912,11410690,남가좌1동,83,1134,2833,568,69,60,76,467013784
201912,11410700,남가좌2동,281,2934,1302,685,1,2,52,157236773
201912,11410710,북가좌1동,189,1528,2674,802,140,8,65,267615133
201912,11410720,북가좌2동,884,5935,2510,381,0,19,55,154720417
201912,11440555,아현동,100,3355,2983,1134,44,114,77,629717753
201912,11440565,공덕동,466,4123,2477,1286,137,5,57,254887293
201912,11440585,도화동,124,1240,2552,1231,580,29,76,377106809
201912,11440590,용강동,151,2388,2583,915,274,0,66,384996323
201912,11440600,대흥동,53,1290,563,95,0,1,46,226580976
201912,11440610,염리동,72,1060,634,162,3,1,64,279788240
201912,11440630,신수동,217,2519,2512,630,63,20,59,279808531
201912,11440655,서강동,321,2553,3312,571,336,153,57,282236207
201912,11440660,서교동,511,4576,1152,315,404,23,51,187802822
201912,11440680,합정동,534,3727,1249,244,157,6,50,208779640
201912,11440690,망원1동,522,4108,1204,226,8,1,48,186695120
201912,11440700,망원2동,436,3731,1729,221,36,0,49,179743268
201912,11440710,연남동,401,2859,1065,237,38,5,51,186573762
201912,11440720,성산1동,567,3886,1436,136,51,10,55,168611594
201912,11440730,성산2동,358,8914,2935,547,7,0,53,200214576
201912,11440740,상암동,190,4889,2763,1178,0,0,65,376864247
201912,11470510,목1동,103,2322,2621,1482,918,266,77,586886671
201912,11470520,목2동,772,6330,2593,376,243,8,53,174577996
201912,11470530,목3동,449,4096,1344,352,61,4,52,163506517
201912,11470540,목4동,507,3689,2623,312,127,6,55,168741431
201912,11470550,목5동,191,3366,5496,1557,1785,177,101,942182401
201912,11470560,신월1동,372,3627,1053,22,5,0,50,110526592
201912,11470570,신월2동,365,3459,2771,386,6,0,56,141958156
201912,11470580,신월3동,230,2118,609,11,0,0,46,102305214
201912,11470590,신월4동,275,2736,3022,38,0,1,57,151105182
201912,11470600,신월5동,296,2303,1405,163,14,1,54,126121554
201912,11470610,신월6동,107,909,1028,55,4,0,52,125507841
201912,11470611,신월7동,671,7949,436,0,1,0,42,84199868
201912,11470620,신정1동,113,1387,1950,2055,264,0,85,605501893
201912,11470630,신정2동,95,1648,3219,844,1,0,66,315772088
201912,11470640,신정3동,340,8930,4131,1258,32,0,66,240510701
201912,11470650,신정4동,757,5908,2279,193,6,4,53,144748857
201912,11470670,신정6동,81,1794,2405,2295,474,246,97,740040684
201912,11470680,신정7동,112,5799,3392,696,207,203,70,377068096
201912,11500510,염창동,247,4104,7029,906,191,4,69,315712217
201912,11500520,등촌1동,189,2585,2484,168,0,0,54,194077010
201912,11500530,등촌2동,390,3316,1905,358,384,233,56,188442463
201912,11500535,등촌3동,124,10613,1644,641,232,0,57,272440093
201912,11500540,화곡1동,1203,12949,2954,231,4,0,50,127461680
201912,11500550,화곡2동,520,4580,552,22,9,0,50,122417413
201912,11500560,화곡3동,352,2759,1425,960,739,20,63,198251565
201912,11500570,화곡4동,539,4838,923,51,0,0,50,126522714
201912,11500590,화곡본동,1160,10133,1062,25,1,0,50,118872243
201912,11500591,화곡6동,462,4117,1846,436,272,226,56,150434066
201912,11500593,화곡8동,816,6585,1412,100,3,0,52,125368579
201912,11500603,가양1동,148,3529,2813,689,500,0,66,322050055
201912,11500604,가양2동,53,5964,414,704,0,0,52,235624512
201912,11500605,가양3동,59,6944,457,34,0,0,49,259383353
201912,11500611,발산1동,407,6848,4707,218,38,3,60,235520646
201912,11500615,우장산동,526,4672,5879,2206,157,0,63,249204228
201912,11500620,공항동,353,4461,1601,42,2,1,48,192482001
201912,11500630,방화1동,390,5481,5722,1346,1,0,60,272983582
201912,11500640,방화2동,253,4544,1311,219,4,1,51,164702344
201912,11500641,방화3동,148,7175,1213,660,498,0,62,213593456
201912,11530510,신도림동,142,3189,5349,1256,720,258,84,419902665
201912,11530520,구로1동,67,2122,4319,257,1,0,73,291319966
201912,11530530,구로2동,276,2655,1530,22,7,4,51,153719272
201912,11530540,구로3동,486,4882,1710,452,1,0,49,117578284
201912,11530550,구로4동,574,6345,1272,11,1,0,46,99491166
201912,11530560,구로5동,145,3331,3168,614,309,125,63,219264838
201912,11530595,가리봉동,174,1143,207,12,10,37,70,182837797
201912,11530720,고척1동,182,2849,3715,166,45,0,60,180394303
201912,11530730,고척2동,267,3690,2386,548,0,0,57,161051361
201912,11530740,개봉1동,399,4691,2650,491,384,0,55,144089813
201912,11530750,개봉2동,469,4971,3914,1397,34,0,59,165640411
201912,11530760,개봉3동,421,4464,1705,121,0,0,54,142946553
201912,11530770,오류1동,216,3800,1285,570,6,0,55,137434342
201912,11530780,오류2동,372,8314,3959,714,91,0,60,198407491
201912,11530790,수궁동,421,5533,2266,296,51,0,58,153269551
201912,11530800,항동,46,913,308,116,2,84,69,210708531
201912,11545510,가산동,167,3699,993,105,174,0,51,154218482
201912,11545610,독산1동,220,5238,4447,430,19,14,60,192652545
201912,11545620,독산2동,305,2657,430,8,1,0,51,127560010
201912,11545630,독산3동,391,3460,1475,103,3,0,53,147147300
201912,11545640,독산4동,248,1936,711,8,1,1,55,136139901
201912,11545670,시흥1동,381,5397,2230,378,79,0,53,159614373
201912,11545680,시흥2동,75,2289,2304,1835,0,0,78,221267164
201912,11545690,시흥3동,236,2637,1052,29,3,0,58,148950289
201912,11545700,시흥4동,340,3214,1230,204,4,0,55,130235058
201912,11545710,시흥5동,199,2362,1036,34,0,0,52,143002643
201912,11560515,영등포본동,238,1876,2998,63,0,0,56,193125873
201912,11560535,영등포동,142,3643,1708,484,143,0,46,241509267
201912,11560540,여의동,96,532,2424,2836,3215,1114,126,969059135
201912,11560550,당산1동,95,1845,2023,300,48,0,52,265861234
201912,11560560,당산2동,214,3805,4039,1480,686,7,67,365167641
201912,11560585,도림동,140,1272,979,122,84,1,55,169172356
201912,11560605,문래동,91,2172,3980,1298,325,46,90,469339715
201912,11560610,양평1동,59,2087,1058,160,0,0,59,252285015
201912,11560620,양평2동,172,3233,2994,233,19,0,50,214235690
201912,11560630,신길1동,136,1734,524,138,3,0,53,183726278
201912,11560650,신길3동,66,1445,1412,20,0,0,58,272070743
201912,11560660,신길4동,88,837,435,261,23,6,86,216225924
201912,11560670,신길5동,103,901,462,161,2,0,56,176002165
201912,11560680,신길6동,118,2244,1727,101,61,1,59,240911060
201912,11560690,신길7동,61,1590,1806,208,104,0,66,382749140
201912,11560700,대림1동,92,953,927,100,0,0,55,174422588
201912,11560710,대림2동,134,1781,813,82,0,0,53,148139262
201912,11560720,대림3동,248,3258,2391,2,344,0,50,148574022
201912,11590510,노량진1동,173,3004,3393,1642,5,3,66,326348621
201912,11590520,노량진2동,131,721,371,10,0,0,57,290000205
201912,11590530,상도1동,558,5682,5675,1468,141,33,60,243415538
201912,11590540,상도2동,268,3086,3065,504,394,0,60,271120694
201912,11590550,상도3동,575,3798,2103,144,11,0,58,173697874
201912,11590560,상도4동,671,4867,1431,222,47,0,54,160928123
201912,11590605,흑석동,234,1874,3138,1273,115,32,73,432607188
201912,11590620,사당1동,430,3068,1086,131,32,0,53,195328555
201912,11590630,사당2동,222,2988,2287,2111,64,1,69,317944076
201912,11590640,사당3동,309,2290,2722,1158,155,0,58,239445092
201912,11590650,사당4동,314,2078,1092,97,11,1,52,194212987
201912,11590651,사당5동,162,2007,714,272,1,0,54,199405237
201912,11590660,대방동,420,4677,3817,125,435,194,59,237787015
201912,11590670,신대방1동,145,1445,2653,1021,440,0,63,263360387
201912,11590680,신대방2동,200,1963,1336,292,168,123,60,207792322
201912,11620525,보라매동,373,2645,1639,32,3,2,56,153917149
201912,11620545,청림동,74,1654,1064,583,0,0,62,246271528
201912,11620565,성현동,309,3339,2949,1560,1,0,60,204397118
201912,11620575,행운동,296,2537,1857,606,5,0,54,165207633
201912,11620585,낙성대동,167,1366,882,174,7,1,60,183256025
201912,11620595,청룡동,298,3106,1243,227,3,0,57,176213239
201912,11620605,은천동,445,4433,2367,1118,24,0,55,161831984
201912,11620615,중앙동,176,1561,465,125,4,2,56,167228823
201912,11620625,인헌동,579,4140,1504,63,93,0,56,150787336
201912,11620630,남현동,324,1876,1825,265,149,15,67,242926920
201912,11620645,서원동,407,3205,1091,56,2,4,50,126481050
201912,11620655,신원동,216,2019,337,35,2,0,46,119830086
201912,11620665,서림동,250,2422,741,629,3,0,53,129144968
201912,11620685,신사동,227,1909,457,57,4,3,53,164226720
201912,11620695,신림동,202,2432,263,2,1,0,38,142244266
201912,11620715,난향동,131,1956,1660,695,0,0,67,205794303
201912,11620725,조원동,195,2653,1062,134,2,0,49,168942248
