행정동_ID,행정동코드,행정동이름
11140720,1144072000,성산제1동
11140730,1144073000,성산제2동
11140740,1144074000,상암동
11150510,1147051000,목1동
11150520,1147052000,목2동
11150530,1147053000,목3동
11150540,1147054000,목4동
11150710,1147055000,목5동
11150570,1147056000,신월1동
11150580,1147057000,신월2동
11150590,1147058000,신월3동
11150600,1147059000,신월4동
11150610,1147060000,신월5동
11150620,1147061000,신월6동
11150630,1147061100,신월7동
11150640,1147062000,신정1동
11150650,1147063000,신정2동
11150660,1147064000,신정3동
11150720,1147065000,신정4동
11150690,1147067000,신정6동
11150700,1147068000,신정7동
11160510,1150051000,염창동
11160520,1150052000,등촌제1동
11160530,1150053000,등촌제2동
11160540,1150053500,등촌제3동
11160730,1150054000,화곡제1동
11160570,1150055000,화곡제2동
11160580,1150056000,화곡제3동
11160590,1150057000,화곡제4동
11160550,1150059000,화곡본동
11160610,1150059100,화곡제6동
11160630,1150059300,화곡제8동
11160640,1150060300,가양제1동
11160650,1150060400,가양제2동
11160660,1150060500,가양제3동
11160670,1150061100,발산제1동
11160740,1150061500,우장산동
11160690,1150062000,공항동
11160700,1150063000,방화제1동
11160710,1150064000,방화제2동
11160720,1150064100,방화제3동
11170510,1153051000,신도림동
11170520,1153052000,구로제1동
11170710,1153053000,구로제2동
11170540,1153054000,구로제3동
11170550,1153055000,구로제4동
11170560,1153056000,구로제5동
11170700,1153059500,가리봉동
11170610,1153072000,고척제1동
11170620,1153073000,고척제2동
11170720,1153074000,개봉제1동
11170640,1153075000,개봉제2동
11170650,1153076000,개봉제3동
11170670,1153077000,오류제1동
11170730,1153078000,오류제2동
11170740,1153080000,항동
11170690,1153079000,수궁동
11180510,1154551000,가산동
11180520,1154561000,독산제1동
11180530,1154562000,독산제2동
11180540,1154563000,독산제3동
11180550,1154564000,독산제4동
11180570,1154567000,시흥제1동
11180580,1154568000,시흥제2동
11180590,1154569000,시흥제3동
11180600,1154570000,시흥제4동
11180610,1154571000,시흥제5동
11190730,1156051500,영등포본동
11190740,1156053500,영등포동
11190540,1156054000,여의동
11190550,1156055000,당산제1동
11190560,1156056000,당산제2동
11190750,1156058500,도림동
11190760,1156060500,문래동
11190610,1156061000,양평제1동
11190620,1156062000,양평제2동
11190630,1156063000,신길제1동
11190650,1156065000,신길제3동
11190660,1156066000,신길제4동
11190670,1156067000,신길제5동
11190680,1156068000,신길제6동
11190690,1156069000,신길제7동
11190700,1156070000,대림제1동
11190710,1156071000,대림제2동
11190720,1156072000,대림제3동
11200720,1159051000,노량진제1동
11200520,1159052000,노량진제2동
11200530,1159053000,상도제1동
11200540,1159054000,상도제2동
11200550,1159055000,상도제3동
11200560,1159056000,상도제4동
11200710,1159060500,흑석동
11200630,1159062000,사당제1동
11200730,1159063000,사당제2동
11200650,1159064000,사당제3동
11200660,1159065000,사당제4동
11200670,1159065100,사당제5동
11200680,1159066000,대방동
11200690,1159067000,신대방제1동
11200700,1159068000,신대방제2동
11210520,1162052500,보라매동
11210540,1162054500,청림동
11210790,1162056500,성현동
11210570,1162057500,행운동
11210580,1162058500,낙성대동
11210800,1162059500,청룡동
11210780,1162060500,은천동
11210610,1162061500,중앙동
11210620,1162062500,인헌동
11210630,1162063000,남현동
11210640,1162064500,서원동
11210650,1162065500,신원동
11210660,1162066500,서림동
11210680,1162068500,신사동
11210690,1162069500,신림동
11210710,1162071500,난향동
11210720,1162072500,조원동
11210730,1162073500,대학동
11210820,1162074500,삼성동
11210830,1162076500,미성동
11210810,1162077500,난곡동
11220510,1165051000,서초1동
11220520,1165052000,서초2동
11220530,1165053000,서초3동
11220540,1165053100,서초4동
11220550,1165054000,잠원동
