TIME,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,M2_lag1,KOSPI_lag1,HOUSE_SALE_lag1,RENT_SALE_lag1,FX_lag1
202505,3955598.2,2620.08,94.07,97.678,1394.49,3930054.0,2472.18,93.603,97.465,1444.31
202506,3975331.0,2949.13,94.946,97.965,1366.95,3955598.2,2620.08,94.07,97.678,1394.49
202507,3994033.3,3168.59,95.702,98.214,1375.22,3975331.0,2949.13,94.946,97.965,1366.95
202508,4038516.1,3183.79,96.145,98.379,1389.66,3994033.3,3168.59,95.702,98.214,1375.22
202509,4059768.7,3352.56,96.644,98.607,1391.83,4038516.1,3183.79,96.145,98.379,1389.66
202510,4057900.5,3808.59,97.572,98.87,1423.36,4059768.7,3352.56,96.644,98.607,1391.83
202511,4062260.6,4012.46,98.578,99.176,1457.77,4057900.5,3808.59,97.572,98.87,1423.36
202512,4081265.9,4088.04,99.397,99.654,1467.4,4062260.6,4012.46,98.578,99.176,1457.77
202601,4113407.1,4807.38,100.0,100.0,1456.51,4081265.9,4088.04,99.397,99.654,1467.4
202602,4113574.4,5575.4,100.866,100.358,1449.32,4113407.1,4807.38,100.0,100.0,1456.51
202603,4132066.9,5524.28,101.898,100.802,1486.64,4113574.4,5575.4,100.866,100.358,1449.32
