YYYYMM,행정동코드,년도,월,행정동_명칭,자치구_명칭,생활비용지수_등급,생활비용지수
202501,1123065000,2025,1,장안1동,동대문구,2,9.558755768897
202501,1123066000,2025,1,장안2동,동대문구,3,9.311766394346783
202501,1123070500,2025,1,청량리동,동대문구,3,9.276369933666802
202501,1123071000,2025,1,회기동,동대문구,3,9.055723321988102
202501,1123072000,2025,1,휘경1동,동대문구,3,8.998922135964007
202501,1123073000,2025,1,휘경2동,동대문구,3,8.544662814085209
202501,1123074000,2025,1,이문1동,동대문구,3,8.895751958741162
202501,1123075000,2025,1,이문2동,동대문구,4,8.40977024788236
202501,1126052000,2025,1,면목2동,중랑구,3,8.668133804372113
202501,1126054000,2025,1,면목4동,중랑구,3,8.558745164037372
202501,1126055000,2025,1,면목5동,중랑구,3,8.489251659586117
202501,1126056500,2025,1,면목본동,중랑구,3,8.968682438927175
202501,1126057000,2025,1,면목7동,중랑구,3,9.074755154130832
202501,1126057500,2025,1,"면목3,8동",중랑구,3,8.897813432790468
202501,1126058000,2025,1,상봉1동,중랑구,3,8.508324061089711
202501,1126059000,2025,1,상봉2동,중랑구,3,9.327298531696323
202501,1126060000,2025,1,중화1동,중랑구,3,8.688097064317654
202501,1126061000,2025,1,중화2동,중랑구,3,9.007323383902568
202501,1126062000,2025,1,묵1동,중랑구,3,8.882075648124905
202501,1126063000,2025,1,묵2동,중랑구,3,8.863432235257333
202501,1126065500,2025,1,망우본동,중랑구,3,8.923131517989408
202501,1126066000,2025,1,망우3동,중랑구,3,8.731265549481433
202501,1126068000,2025,1,신내1동,중랑구,3,8.709433202653262
202501,1126069000,2025,1,신내2동,중랑구,3,9.165093202270878
202501,1129052500,2025,1,성북동,성북구,3,8.856393314317899
202501,1129055500,2025,1,삼선동,성북구,3,9.311852352016173
202501,1129057500,2025,1,동선동,성북구,3,9.29333092820343
202501,1129058000,2025,1,돈암1동,성북구,3,8.648642428318288
202501,1129059000,2025,1,돈암2동,성북구,3,8.761764078353222
202501,1129060000,2025,1,안암동,성북구,3,8.962103606934269
202501,1129061000,2025,1,보문동,성북구,3,8.66354281311842
202501,1129062000,2025,1,정릉1동,성북구,3,8.64347300851387
202501,1129063000,2025,1,정릉2동,성북구,3,8.46957548992451
202501,1129064000,2025,1,정릉3동,성북구,3,8.594444632623576
202501,1129065000,2025,1,정릉4동,성북구,3,8.610774576770616
202501,1129066000,2025,1,길음1동,성북구,3,8.515469050041682
202501,1129068500,2025,1,길음2동,성북구,3,8.905020845396816
202501,1129070500,2025,1,종암동,성북구,3,8.811963693053778
202501,1129071500,2025,1,월곡1동,성북구,3,8.689597522848338
202501,1129072500,2025,1,월곡2동,성북구,3,8.893394738310189
202501,1129076000,2025,1,장위1동,성북구,4,8.268395820531792
202501,1129077000,2025,1,장위2동,성북구,3,8.801651714422754
202501,1129078000,2025,1,장위3동,성북구,3,8.613380133674431
202501,1129081000,2025,1,석관동,성북구,3,8.948506492104874
202501,1130553400,2025,1,삼양동,강북구,3,8.52653702446696
202501,1130553500,2025,1,미아동,강북구,3,9.06354232167935
202501,1130554500,2025,1,송중동,강북구,3,9.18317489962742
202501,1130555500,2025,1,송천동,강북구,3,9.015059429323005
202501,1130557500,2025,1,삼각산동,강북구,3,8.568474106822414
202501,1130559500,2025,1,번1동,강북구,3,9.301861319870865
202501,1130560300,2025,1,번2동,강북구,4,8.037119750708813
202501,1130560800,2025,1,번3동,강북구,3,8.655383917473058
202501,1130561500,2025,1,수유1동,강북구,3,9.23822014772844
202501,1130562500,2025,1,수유2동,강북구,3,8.73305014750221
202501,1130563500,2025,1,수유3동,강북구,3,9.24450830072269
202501,1130564500,2025,1,우이동,강북구,3,8.704521395807737
202501,1130566000,2025,1,인수동,강북구,4,8.42822191024785
202501,1132051100,2025,1,창1동,도봉구,3,8.887808138879928
202501,1132051200,2025,1,창2동,도봉구,3,8.458364186346808
202501,1132051300,2025,1,창3동,도봉구,3,8.812969004160612
202501,1132051400,2025,1,창4동,도봉구,3,8.70655547294922
202501,1132051500,2025,1,창5동,도봉구,3,9.29208223492483
202501,1132052100,2025,1,도봉1동,도봉구,3,8.91383939923724
202501,1132052200,2025,1,도봉2동,도봉구,4,8.399168711140998
202501,1132066000,2025,1,쌍문1동,도봉구,3,8.447457923593863
202501,1132067000,2025,1,쌍문2동,도봉구,3,8.792232109003402
202501,1132068000,2025,1,쌍문3동,도봉구,3,9.002536245085798
202501,1132068100,2025,1,쌍문4동,도봉구,3,8.499517933777426
202501,1132069000,2025,1,방학1동,도봉구,3,9.059891085583285
202501,1132070000,2025,1,방학2동,도봉구,3,9.15269066893046
202501,1132071000,2025,1,방학3동,도봉구,4,8.380127847106714
202501,1135056000,2025,1,월계1동,노원구,3,8.69589738600603
202501,1135057000,2025,1,월계2동,노원구,4,8.069915841745559
202501,1135058000,2025,1,월계3동,노원구,4,8.281050642165736
202501,1135059500,2025,1,공릉1동,노원구,3,8.974657462836579
202501,1135060000,2025,1,공릉2동,노원구,3,8.699539880400906
202501,1135061100,2025,1,하계1동,노원구,3,9.091644883443111
202501,1135061200,2025,1,하계2동,노원구,4,8.116443565583477
202501,1135061900,2025,1,중계본동,노원구,3,9.038676703521848
202501,1135062100,2025,1,중계1동,노원구,3,8.515000657702618
202501,1135062400,2025,1,중계4동,노원구,3,9.171863413764624
202501,1135062500,2025,1,"중계2,3동",노원구,3,9.177556217045405
202501,1135063000,2025,1,상계1동,노원구,3,8.7808074905672
202501,1135064000,2025,1,상계2동,노원구,3,9.453942210779426
202501,1135066500,2025,1,"상계3,4동",노원구,4,8.354243106117243
202501,1135067000,2025,1,상계5동,노원구,3,8.876723391440303
202501,1135069500,2025,1,"상계6,7동",노원구,3,9.384072057677256
202501,1135070000,2025,1,상계8동,노원구,3,8.671617112035186
202501,1135071000,2025,1,상계9동,노원구,3,8.838861505103836
202501,1135072000,2025,1,상계10동,노원구,4,8.296538373477961
202501,1138051000,2025,1,녹번동,은평구,3,8.80989082089775
202501,1138052000,2025,1,불광1동,은평구,3,8.911076974192104
202501,1138053000,2025,1,불광2동,은평구,3,8.702503067380041
202501,1138055100,2025,1,갈현1동,은평구,3,9.289774040336429
202501,1138055200,2025,1,갈현2동,은평구,3,9.070421553648451
202501,1138056000,2025,1,구산동,은평구,4,8.271610004658083
202501,1138057000,2025,1,대조동,은평구,3,9.03702933203308
202501,1138058000,2025,1,응암1동,은평구,3,8.807428392607825
202501,1138059000,2025,1,응암2동,은평구,3,8.627426427055557
202501,1138060000,2025,1,응암3동,은평구,3,9.010768185581457
202501,1138062500,2025,1,역촌동,은평구,3,8.543837446371256
202501,1138063100,2025,1,신사1동,은평구,3,8.680897368669546
202501,1138063200,2025,1,신사2동,은평구,3,8.438601140233603
202501,1138064000,2025,1,증산동,은평구,3,8.780164022010148
202501,1138065000,2025,1,수색동,은평구,4,8.237967018613903
202501,1138069000,2025,1,진관동,은평구,3,8.485693185013043
202501,1141052000,2025,1,천연동,서대문구,3,9.051652101916048
202501,1141055500,2025,1,북아현동,서대문구,3,9.208725105326277
202501,1141056500,2025,1,충현동,서대문구,3,8.939719526997374
202501,1141058500,2025,1,신촌동,서대문구,3,9.227126842924452
202501,1141061500,2025,1,연희동,서대문구,3,8.880653745929934
202501,1141062000,2025,1,홍제1동,서대문구,3,8.624975322429538
202501,1141064000,2025,1,홍제3동,서대문구,3,9.246064697250691
202501,1141065500,2025,1,홍제2동,서대문구,3,8.7175047250003
202501,1141066000,2025,1,홍은1동,서대문구,3,8.713295399700284
202501,1141068500,2025,1,홍은2동,서대문구,3,8.550883942175876
202501,1141069000,2025,1,남가좌1동,서대문구,3,9.255303851685612
202501,1141070000,2025,1,남가좌2동,서대문구,3,8.790532492144937
202501,1141071000,2025,1,북가좌1동,서대문구,4,8.29865830975404
202501,1141072000,2025,1,북가좌2동,서대문구,3,8.780727232897634
202501,1144055500,2025,1,아현동,마포구,3,9.292066204134327
202501,1144056500,2025,1,공덕동,마포구,3,9.113749281567022
202501,1144058500,2025,1,도화동,마포구,3,9.435726074187986
202501,1144059000,2025,1,용강동,마포구,2,9.723478169845224
202501,1144060000,2025,1,대흥동,마포구,3,9.46445420337861
202501,1144061000,2025,1,염리동,마포구,3,8.803623321971713
202501,1144063000,2025,1,신수동,마포구,3,8.65271693197943
202501,1144065500,2025,1,서강동,마포구,3,8.981875351661323
202501,1144066000,2025,1,서교동,마포구,2,9.78653586333473
202501,1144068000,2025,1,합정동,마포구,3,9.316144530481449
202501,1144069000,2025,1,망원1동,마포구,3,9.166767095315947
202501,1144070000,2025,1,망원2동,마포구,3,9.01758576164882
202501,1144071000,2025,1,연남동,마포구,3,9.131605148108672
202501,1144072000,2025,1,성산1동,마포구,3,8.792423409933143
202501,1144073000,2025,1,성산2동,마포구,3,8.72651583137969
202501,1144074000,2025,1,상암동,마포구,3,9.163590295523877
202501,1147051000,2025,1,목1동,양천구,2,9.526803129538722
202501,1147052000,2025,1,목2동,양천구,3,8.712944272599467
202501,1147053000,2025,1,목3동,양천구,3,9.205622046483516
202501,1147054000,2025,1,목4동,양천구,3,8.82570351113368
202501,1147055000,2025,1,목5동,양천구,3,9.374268680855463
202501,1147056000,2025,1,신월1동,양천구,3,8.824947019814902
202501,1147057000,2025,1,신월2동,양천구,3,8.733369528383555
202501,1147058000,2025,1,신월3동,양천구,3,8.489210033323273
202501,1147059000,2025,1,신월4동,양천구,3,8.87706713653301
202501,1147060000,2025,1,신월5동,양천구,3,8.66613908114604
202501,1147061000,2025,1,신월6동,양천구,3,9.35418111166263
202501,1147061100,2025,1,신월7동,양천구,3,8.517749084442999
202501,1147062000,2025,1,신정1동,양천구,3,9.4265153140042
