행정동코드,행정동이름,AREA_M2,LAT,LON
1117064000,이촌제2동,1203554,126.95394,37.52333
1117065000,이태원제1동,533547,126.99325,37.53339
1117066000,이태원제2동,891712,126.99213,37.54166
1117068500,한남동,3194899,127.0058,37.5371
1117069000,서빙고동,2917053,126.98838,37.52247
1117070000,보광동,872912,127.00126,37.52587
1120052000,왕십리제2동,334371,127.02769,37.5615
1120053500,왕십리도선동,721844,127.02957,37.56679
1120054000,마장동,1127258,127.04049,37.56764
1120055000,사근동,1154150,127.04543,37.55801
1120056000,행당제1동,566619,127.03606,37.55902
1120057000,행당제2동,479532,127.0295,37.55668
1120058000,응봉동,563044,127.03398,37.55099
1120059000,금호1가동,407653,127.02506,37.55367
1120061500,금호2.3가동,665732,127.01989,37.55143
1120062000,금호4가동,930024,127.0246,37.54459
1120064500,옥수동,1250869,127.01618,37.54197
1120065000,성수1가제1동,2238042,127.04104,37.54042
1120066000,성수1가제2동,977066,127.04395,37.54907
1120067000,성수2가제1동,1150487,127.05528,37.53666
1120069000,성수2가제3동,1046168,127.05814,37.54554
1120072000,송정동,587634,127.0657,37.55233
1120079000,용답동,2372731,127.05785,37.55854
1121571000,화양동,1178002,127.07346,37.54327
1121573000,군자동,734486,127.07368,37.55307
1121574000,중곡제1동,590812,127.07772,37.56204
1121575000,중곡제2동,544506,127.08459,37.55891
1121576000,중곡제3동,602735,127.08197,37.56785
1121577000,중곡제4동,2284644,127.09445,37.56391
1121578000,능동,1083377,127.08165,37.55066
1121581000,광장동,2755836,127.10487,37.54828
1121582000,자양제1동,565020,127.08042,37.53554
1121583000,자양제2동,1631119,127.08325,37.52933
1121584000,자양제3동,1134722,127.0712,37.53169
1121584700,자양제4동,1155166,127.06377,37.53389
1121585000,구의제1동,552319,127.08603,37.54149
1121586000,구의제2동,1380731,127.09445,37.551
1121587000,구의제3동,1450497,127.09524,37.53509
1123053600,용신동,1573645,127.03229,37.57562
1123054500,제기동,1181233,127.03724,37.58368
1123056000,전농제1동,1170148,127.05105,37.57901
1123057000,전농제2동,995125,127.06114,37.58072
1123060000,답십리제1동,798544,127.0517,37.57094
1123061000,답십리제2동,824988,127.06111,37.57089
1123065000,장안제1동,1365375,127.06859,37.56623
1123066000,장안제2동,1132972,127.07254,37.57576
1123070500,청량리동,1176505,127.04512,37.58894
1123071000,회기동,803887,127.05141,37.5937
1123072000,휘경제1동,510437,127.06247,37.59187
1123073000,휘경제2동,1195510,127.06644,37.58651
1123074000,이문제1동,1005087,127.06029,37.59722
1123075000,이문제2동,805192,127.06749,37.60283
1126052000,면목제2동,744933,127.07814,37.58938
1126054000,면목제4동,849250,127.08647,37.57348
1126055000,면목제5동,590803,127.07967,37.58297
1126056500,면목본동,827948,127.08953,37.58834
1126057000,면목제7동,1180742,127.09269,37.57729
1126057500,면목제3.8동,1400985,127.09738,37.5846
1126058000,상봉제1동,861947,127.08947,37.60203
1126059000,상봉제2동,655590,127.0839,37.59425
1126060000,중화제1동,669339,127.08315,37.60229
1126061000,중화제2동,957879,127.07521,37.59872
1126062000,묵제1동,1207708,127.08245,37.61374
1126063000,묵제2동,668183,127.07467,37.61037
1126065500,망우본동,2948005,127.10754,37.60199
1126066000,망우제3동,991213,127.10294,37.59181
1126068000,신내1동,2490403,127.10451,37.6128
1126069000,신내2동,935095,127.09162,37.61095
1129052500,성북동,2416176,126.99615,37.59587
1129055500,삼선동,912074,127.0118,37.58662
1129057500,동선동,731808,127.01843,37.59374
1129058000,돈암제1동,461014,127.02404,37.59933
1129059000,돈암제2동,523725,127.01163,37.59728
1129060000,안암동,1274562,127.02731,37.58725
1129061000,보문동,589971,127.01922,37.5826
1129062000,정릉제1동,389711,127.01665,37.60326
1129063000,정릉제2동,1126034,127.00812,37.60379
1129064000,정릉제3동,3357947,126.99377,37.61226
1129065000,정릉제4동,3712601,126.99518,37.62351
1129066000,길음제1동,818440,127.01974,37.60811
1129068500,길음제2동,616132,127.02723,37.60797
1129070500,종암동,1520021,127.03337,37.59725
1129071500,월곡제1동,764805,127.03645,37.60788
1129072500,월곡제2동,1334181,127.04519,37.6033
