기준_년분기_코드,YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수
20191.0,201903,1129070500,29000853402.0,1431611.0
20191.0,201903,1129071500,11090025184.0,546671.0
20191.0,201903,1129072500,19156850327.0,1243836.0
20191.0,201903,1129076000,6591021460.0,361735.0
20191.0,201903,1129077000,9701209535.0,400586.0
20191.0,201903,1129078000,5433872318.0,243563.0
20191.0,201903,1129081000,23584657986.0,1015272.0
20191.0,201903,1130553400,12899198264.0,735056.0
20191.0,201903,1130553500,30927222290.0,1658036.0
20191.0,201903,1130554500,62290245534.0,1996042.0
20191.0,201903,1130555500,28187672728.0,1340963.0
20191.0,201903,1130557500,7664118962.0,363851.0
20191.0,201903,1130559500,51294274645.0,1928441.0
20191.0,201903,1130560300,4012845659.0,218631.0
20191.0,201903,1130560800,9821314806.0,527387.0
20191.0,201903,1130561500,27158428832.0,1149591.0
20191.0,201903,1130562500,17209730113.0,901410.0
20191.0,201903,1130563500,57690776901.0,2494917.0
20191.0,201903,1130564500,13578003387.0,609667.0
20191.0,201903,1130566000,13431354541.0,804078.0
20191.0,201903,1132051100,23133026221.0,1576682.0
20191.0,201903,1132051200,14696356208.0,811748.0
20191.0,201903,1132051300,10418351301.0,435256.0
20191.0,201903,1132051400,21880135036.0,1206032.0
20191.0,201903,1132051500,34359006360.0,1739945.0
20191.0,201903,1132052100,38728873291.0,1314407.0
20191.0,201903,1132052200,9868584850.0,497056.0
20191.0,201903,1132066000,9910432629.0,698506.0
20191.0,201903,1132067000,21673100557.0,1337456.0
20191.0,201903,1132068000,16119625068.0,834722.0
20191.0,201903,1132068100,7742069039.0,497081.0
20191.0,201903,1132069000,38235638224.0,1599472.0
20191.0,201903,1132070000,34088064712.0,952843.0
20191.0,201903,1132071000,9847503237.0,610389.0
20191.0,201903,1135056000,19096029889.0,1185921.0
20191.0,201903,1135057000,6116153960.0,364108.0
20191.0,201903,1135058000,5034774631.0,352867.0
20191.0,201903,1135059500,42805217442.0,1860144.0
20191.0,201903,1135060000,25944125570.0,2019077.0
20191.0,201903,1135061100,55403781937.0,2227635.0
20191.0,201903,1135061200,3993140191.0,224663.0
20191.0,201903,1135061900,31302430754.0,1265770.0
20191.0,201903,1135062100,8723461389.0,383337.0
20191.0,201903,1135062400,25543582065.0,1046003.0
20191.0,201903,1135062500,120467531162.0,3920530.0
20191.0,201903,1135063000,33069997698.0,1781388.0
20191.0,201903,1135064000,72545899625.0,3060643.0
20191.0,201903,1135066500,8075443164.0,487496.0
20191.0,201903,1135067000,14179966747.0,834151.0
20191.0,201903,1135069500,69739777067.0,3073096.0
20191.0,201903,1135070000,10517453861.0,557710.0
20191.0,201903,1135071000,12327443422.0,638359.0
20191.0,201903,1135072000,3462211282.0,146428.0
20191.0,201903,1138051000,24480976949.0,1011469.0
20191.0,201903,1138052000,34485522135.0,1466338.0
20191.0,201903,1138053000,20264060955.0,1043620.0
20191.0,201903,1138055100,32462875724.0,2049366.0
20191.0,201903,1138055200,40825208857.0,2157785.0
20191.0,201903,1138056000,9866891914.0,578431.0
20191.0,201903,1138057000,50823077605.0,2239944.0
20191.0,201903,1138058000,35428958628.0,1558814.0
20191.0,201903,1138059000,6901946652.0,465408.0
20191.0,201903,1138060000,33118939170.0,1408836.0
20191.0,201903,1138062500,28646143992.0,1617355.0
20191.0,201903,1138063100,15933514110.0,909244.0
20191.0,201903,1138063200,7791645310.0,434088.0
20191.0,201903,1138064000,9523821109.0,529963.0
20191.0,201903,1138065000,3619509313.0,143315.0
20191.0,201903,1138069000,15215500316.0,433500.0
20191.0,201903,1141052000,12954446868.0,532581.0
20191.0,201903,1141055500,11302077899.0,435682.0
20191.0,201903,1141056500,22163138056.0,1391699.0
20191.0,201903,1141058500,116828300866.0,6415870.0
20191.0,201903,1141061500,49154700699.0,1670576.0
20191.0,201903,1141062000,11716622973.0,646412.0
20191.0,201903,1141064000,27556013578.0,1366529.0
20191.0,201903,1141065500,5145898468.0,263983.0
20191.0,201903,1141066000,9121808212.0,295644.0
20191.0,201903,1141068500,14941265831.0,883640.0
20191.0,201903,1141069000,7893546173.0,321026.0
20191.0,201903,1141070000,16981266448.0,1034252.0
20191.0,201903,1141071000,2890235523.0,179280.0
20191.0,201903,1141072000,27272715222.0,1249516.0
20191.0,201903,1144055500,20928343164.0,947237.0
20191.0,201903,1144056500,32816844380.0,1349060.0
20191.0,201903,1144058500,32798095791.0,1344152.0
20191.0,201903,1144059000,51163448159.0,1855831.0
20191.0,201903,1144060000,33878619969.0,1942237.0
20191.0,201903,1144061000,10349666751.0,496547.0
20191.0,201903,1144063000,16643414710.0,792421.0
20191.0,201903,1144065500,29538547703.0,1764400.0
20191.0,201903,1144066000,269865867712.0,12330246.0
20191.0,201903,1144068000,51718857714.0,2723340.0
20191.0,201903,1144069000,31485840364.0,1929273.0
20191.0,201903,1144070000,19809564451.0,1053893.0
20191.0,201903,1144071000,29765404103.0,1460835.0
20191.0,201903,1144072000,31011371234.0,1054451.0
20191.0,201903,1144073000,34187105165.0,1963996.0
20191.0,201903,1144074000,61210076540.0,3749222.0
20191.0,201903,1147051000,57451735161.0,2206533.0
20191.0,201903,1147052000,21431417799.0,1149835.0
20191.0,201903,1147053000,25202869619.0,1345101.0
20191.0,201903,1147054000,23943541223.0,937433.0
20191.0,201903,1147055000,32994208695.0,1108661.0
20191.0,201903,1147056000,19047964773.0,944390.0
20191.0,201903,1147057000,15886973843.0,731974.0
20191.0,201903,1147058000,4784129736.0,293464.0
20191.0,201903,1147059000,11827865654.0,625580.0
20191.0,201903,1147060000,6214438863.0,320931.0
20191.0,201903,1147061000,8629899078.0,399594.0
20191.0,201903,1147061100,11586885271.0,648130.0
20191.0,201903,1147062000,25140461349.0,982365.0
20191.0,201903,1147063000,21228303377.0,661243.0
20191.0,201903,1147064000,24013113009.0,1383971.0
20191.0,201903,1147065000,67702300838.0,2465171.0
20191.0,201903,1147067000,7050747133.0,168153.0
20191.0,201903,1147068000,17662814431.0,717228.0
20191.0,201903,1150051000,40273869019.0,2064742.0
20191.0,201903,1150052000,56711779796.0,1613932.0
20191.0,201903,1150053000,6286432408.0,388443.0
20191.0,201903,1150053500,46232980415.0,1938238.0
20191.0,201903,1150054000,57628606266.0,3461397.0
20191.0,201903,1150055000,10890598744.0,421882.0
20191.0,201903,1150056000,21925899481.0,1013989.0
20191.0,201903,1150057000,26886033319.0,1209490.0
20191.0,201903,1150059000,27504730517.0,1399330.0
20191.0,201903,1150059100,30765655752.0,1563362.0
20191.0,201903,1150059300,20612820997.0,1194190.0
20191.0,201903,1150060300,75721961021.0,3262607.0
20191.0,201903,1150060400,19988520829.0,1417021.0
20191.0,201903,1150060500,6221531512.0,261961.0
20191.0,201903,1150061100,128890796685.0,3422612.0
20191.0,201903,1150061500,23422026543.0,1196602.0
20191.0,201903,1150062000,25910132842.0,1217317.0
20191.0,201903,1150063000,37085564416.0,1816573.0
20191.0,201903,1150064000,18729612478.0,886113.0
20191.0,201903,1150064100,7963643703.0,552569.0
20191.0,201903,1153051000,29809053161.0,1657199.0
20191.0,201903,1153052000,10214580952.0,571397.0
20191.0,201903,1153053000,140013202194.0,2105952.0
20191.0,201903,1153054000,97750460027.0,5247307.0
20191.0,201903,1153055000,35873514502.0,1822745.0
20191.0,201903,1153056000,59954936394.0,2647789.0
20191.0,201903,1153059500,12892038905.0,774112.0
20191.0,201903,1153072000,41319479393.0,1429214.0
20191.0,201903,1153073000,19618146007.0,1176234.0
20191.0,201903,1153074000,20650935391.0,1033816.0
20191.0,201903,1153075000,17958087026.0,1110927.0
20191.0,201903,1153076000,14030830695.0,697196.0
20191.0,201903,1153077000,27784087767.0,1916990.0
20191.0,201903,1153078000,16298699520.0,881993.0
20191.0,201903,1153079000,7885472903.0,515796.0
20191.0,201903,1154551000,705163041186.0,16432714.0
20191.0,201903,1154561000,231876698879.0,3015903.0
20191.0,201903,1154562000,14770488965.0,772703.0
20191.0,201903,1154563000,29006343384.0,1345769.0
20191.0,201903,1154564000,13952455793.0,901077.0
20191.0,201903,1154567000,57843421958.0,2511664.0
20191.0,201903,1154568000,3039838859.0,110476.0
20191.0,201903,1154569000,8339229376.0,406270.0
20191.0,201903,1154570000,9072696382.0,508730.0
20191.0,201903,1154571000,18362670876.0,1128272.0
20191.0,201903,1156051500,34166049788.0,2594409.0
20191.0,201903,1156053500,236040518345.0,7379083.0
20191.0,201903,1156054000,219356057766.0,8235814.0
20191.0,201903,1156055000,103699268780.0,3362890.0
20191.0,201903,1156056000,39197996316.0,2563689.0
20191.0,201903,1156058500,12326804716.0,683871.0
20191.0,201903,1156060500,86434523524.0,3261113.0
20191.0,201903,1156061000,20892936466.0,988601.0
20191.0,201903,1156062000,37134133343.0,973131.0
20191.0,201903,1156063000,27311601164.0,1009583.0
20191.0,201903,1156065000,9809295812.0,578162.0
20191.0,201903,1156066000,2800530519.0,111797.0
20191.0,201903,1156067000,5117743084.0,188614.0
20191.0,201903,1156068000,25094290810.0,1243910.0
20191.0,201903,1156069000,6160433877.0,468625.0
