YYYYMM,행정동코드,생활비용지수,생활비용지수_lag1,생활비용지수_lag2,생활비용지수_lag3,생활비용지수_roll3_mean,생활비용지수_roll3_std,생활비용지수_change1,생활비용지수_change3_mean,YEAR,MONTH,MONTH_SIN,MONTH_COS,KOSPI_lag1,M2_lag1,FX_lag1,HOUSE_SALE_lag1,RENT_SALE_lag1,당월_매출_금액_lag1,생활인구합계_lag1,전체승객수_lag1,아파트_평균_시가_lag1,AREA_M2,LAT,LON,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적
202411,1111053000,9.59068494673293,9.56126110292294,9.576046014807591,9.555420348108994,9.564242488613175,0.010631134801415714,-0.0015439474561619315,0.02369816369265454,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,106000000000.0,22672722.0,2849602.0,371237211.0,1165780,126.97014,37.57411,89,309,158.0,54,81.0,14.0,73.0
202411,1111054000,9.689515571415203,9.633549073038443,9.6472041075383,9.634118397064238,9.638290525880327,0.007724635003778647,-0.001415439576860078,0.0030864994234782728,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,36999175472.0,3976155.0,155779.0,401044841.0,1361445,126.98111,37.58801,9,12,19.0,5,2.0,14.0,111.0
202411,1111055000,8.49266061204897,8.45038614283858,8.436898785041139,8.394182162404814,8.427155696761512,0.02934139875786807,0.0015986155744045494,-0.041068746455840056,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,7632601155.0,8163737.0,333087.0,259634651.0,2202073,126.96256,37.5967,189,712,662.0,162,46.0,130.0,82.0
202411,1111056000,8.370148481226362,8.371033723597137,8.390964647025587,8.45468931254477,8.40556256105583,0.04369655262225637,-0.002375283923465865,-0.0023302369681831303,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,8504307728.0,11653142.0,286003.0,480839259.0,9017316,126.96927,37.61396,294,527,915.0,314,472.0,538.0,124.0
202411,1111057000,9.2009326337835,9.13680513823414,9.148538624969198,9.73616863946298,9.340504134222106,0.3427057326750896,-0.001282553117613161,0.03611634178076384,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,8170745406.0,3862692.0,65300.0,660258193.0,467575,126.95899,37.57774,47,111,256.0,108,12.0,0.0,82.0
202411,1111058000,8.75416226194312,8.725689855001283,8.747824312143736,8.801278946888894,8.758264371344637,0.03886095508588494,-0.002530281399424794,-0.01856866957959702,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,9553877218.0,8715446.0,320648.0,235058041.0,345990,126.96416,37.57105,231,1202,194.0,24,2.0,1.0,50.0
202411,1111060000,9.286042152604836,9.24882573368492,9.258347891737408,9.289050506242043,9.265408043888124,0.021021236716984543,-0.001028494301989591,0.0195279276955543,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,26555372972.0,6801080.0,72402.0,284759882.0,605383,126.98662,37.58268,126,683,78.0,20,8.0,41.0,67.0
202411,1111061500,10.179824690361349,10.146570051947291,10.164934865679752,10.064307882177555,10.1252709332682,0.05358812176749107,-0.0018066828735388007,0.0304651439723073,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,577000000000.0,40932330.0,5869856.0,278382323.0,2394166,126.98973,37.57508,9,62,8.0,2,10.0,0.0,49.0
202411,1111063000,9.756681398929336,9.725358031315682,9.756985728507146,9.707003680991726,9.729782480271519,0.025283059147985766,-0.0032415438611390623,-0.012242350493425222,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,105000000000.0,12755869.0,2152598.0,127248788.0,633463,127.00424,37.57302,10,56,0.0,0,3.0,0.0,42.0
202411,1111064000,9.023697951674611,8.99421030149646,9.02369145820766,9.061757956097049,9.02655323860039,0.033864638648186354,-0.003267083858943809,-0.02409284431412932,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,37826308875.0,17224658.0,1606849.0,133464799.0,755902,127.00307,37.57969,212,1201,225.0,15,1.0,1.0,47.0
