YYYYMM,행정동코드,생활비용지수
202411,1111053000,9.590538985442642
202411,1111054000,9.689515571415203
202411,1111055000,8.49266061204897
202411,1111056000,8.370148481226362
202411,1111057000,9.200932633724133
202411,1111058000,8.75416226194312
202411,1111060000,9.286042152604836
202411,1111061500,10.17961104370248
202411,1111063000,9.754989241657755
202411,1111064000,9.023697951674611
202411,1111065000,9.09273695350561
202411,1111067000,10.017783483833645
202411,1111068000,8.947414944849873
202411,1111069000,7.662768273105135
202411,1111070000,8.614625124433976
202411,1111071000,9.216817991062928
202411,1114052000,9.913425679922156
202411,1114054000,9.963251052540754
202411,1114055000,9.786190045952363
202411,1114057000,9.172931478299985
202411,1114058000,9.088428836101489
202411,1114059000,9.786662673659892
202411,1114060500,10.282075898061054
202411,1114061500,9.58851577595613
202411,1114062500,9.273498453778013
202411,1114063500,9.260373542709706
202411,1114064500,8.965468507950083
202411,1114065000,9.394609087299523
202411,1114066500,9.302120662569733
202411,1114067000,9.516185210906974
202411,1114068000,9.387551541249096
202411,1117051000,9.080595734859193
202411,1117052000,8.828002961939225
202411,1117053000,9.589055871475631
202411,1117055500,9.012440477967484
202411,1117056000,9.890979407134616
202411,1117057000,9.554578404751387
202411,1117058000,8.98847381565017
202411,1117059000,9.415778333273922
202411,1117062500,10.363118383920854
202411,1117063000,9.26807418540193
202411,1117064000,9.086666921394755
202411,1117065000,9.819570656092065
202411,1117066000,8.89031422986332
202411,1117068500,9.651226323619667
202411,1117069000,8.287310009375801
202411,1117070000,9.167921526584562
202411,1120052000,9.081908524258084
202411,1120053500,9.165310814947397
202411,1120054000,8.931879695973965
202411,1120055000,8.992518347246477
202411,1120056000,9.41869417760744
202411,1120057000,8.423380251433878
202411,1120058000,8.018810228320536
202411,1120059000,8.375514566164437
202411,1120061500,8.804200999458219
202411,1120062000,9.187329210038312
202411,1120064500,8.718209885449044
202411,1120065000,9.120938370301868
202411,1120066000,9.54137769121691
202411,1120067000,9.756593171296966
202411,1120069000,9.690923512594424
202411,1120072000,8.574375147371518
