행정동_ID,행정동코드,행정동_명칭,자치구_명칭
11110720,1135070000,상계8동,노원구
11110730,1135071000,상계9동,노원구
11110740,1135072000,상계10동,노원구
11120510,1138051000,녹번동,은평구
11120520,1138052000,불광1동,은평구
11120720,1138053000,불광2동,은평구
11120550,1138055100,갈현1동,은평구
11120560,1138055200,갈현2동,은평구
11120570,1138056000,구산동,은평구
11120580,1138057000,대조동,은평구
11120590,1138058000,응암1동,은평구
11120600,1138059000,응암2동,은평구
11120730,1138060000,응암3동,은평구
11120740,1138062500,역촌동,은평구
11120650,1138063100,신사1동,은평구
11120660,1138063200,신사2동,은평구
11120670,1138064000,증산동,은평구
11120680,1138065000,수색동,은평구
11120710,1138069000,진관동,은평구
11130520,1141052000,천연동,서대문구
11130740,1141055500,북아현동,서대문구
11130730,1141056500,충현동,서대문구
11130750,1141058500,신촌동,서대문구
11130760,1141061500,연희동,서대문구
11130620,1141062000,홍제1동,서대문구
11130640,1141064000,홍제3동,서대문구
11130650,1141065500,홍제2동,서대문구
11130660,1141066000,홍은1동,서대문구
11130680,1141068500,홍은2동,서대문구
11130690,1141069000,남가좌1동,서대문구
11130700,1141070000,남가좌2동,서대문구
11130710,1141071000,북가좌1동,서대문구
11130720,1141072000,북가좌2동,서대문구
11140780,1144055500,아현동,마포구
11140770,1144056500,공덕동,마포구
11140750,1144058500,도화동,마포구
11140590,1144059000,용강동,마포구
11140600,1144060000,대흥동,마포구
11140610,1144061000,염리동,마포구
11140630,1144063000,신수동,마포구
11140760,1144065500,서강동,마포구
11140660,1144066000,서교동,마포구
11140680,1144068000,합정동,마포구
11140690,1144069000,망원1동,마포구
11140700,1144070000,망원2동,마포구
11140710,1144071000,연남동,마포구
11140720,1144072000,성산1동,마포구
11140730,1144073000,성산2동,마포구
11140740,1144074000,상암동,마포구
11150510,1147051000,목1동,양천구
11150520,1147052000,목2동,양천구
11150530,1147053000,목3동,양천구
11150540,1147054000,목4동,양천구
11150710,1147055000,목5동,양천구
11150570,1147056000,신월1동,양천구
11150580,1147057000,신월2동,양천구
11150590,1147058000,신월3동,양천구
11150600,1147059000,신월4동,양천구
11150610,1147060000,신월5동,양천구
11150620,1147061000,신월6동,양천구
11150630,1147061100,신월7동,양천구
11150640,1147062000,신정1동,양천구
11150650,1147063000,신정2동,양천구
11150660,1147064000,신정3동,양천구
11150720,1147065000,신정4동,양천구
