기준_년분기_코드,행정동코드,당월_매출_금액,당월_매출_건수
20191,1138069000,15215500316,433500
20191,1141052000,12954446868,532581
20191,1141055500,11302077899,435682
20191,1141056500,22163138056,1391699
20191,1141058500,116828300866,6415870
20191,1141061500,49154700699,1670576
20191,1141062000,11716622973,646412
20191,1141064000,27556013578,1366529
20191,1141065500,5145898468,263983
20191,1141066000,9121808212,295644
20191,1141068500,14941265831,883640
20191,1141069000,7893546173,321026
20191,1141070000,16981266448,1034252
20191,1141071000,2890235523,179280
20191,1141072000,27272715222,1249516
20191,1144055500,20928343164,947237
20191,1144056500,32816844380,1349060
20191,1144058500,32798095791,1344152
20191,1144059000,51163448159,1855831
20191,1144060000,33878619969,1942237
20191,1144061000,10349666751,496547
20191,1144063000,16643414710,792421
20191,1144065500,29538547703,1764400
20191,1144066000,269865867712,12330246
20191,1144068000,51718857714,2723340
20191,1144069000,31485840364,1929273
20191,1144070000,19809564451,1053893
20191,1144071000,29765404103,1460835
20191,1144072000,31011371234,1054451
20191,1144073000,34187105165,1963996
20191,1144074000,61210076540,3749222
20191,1147051000,57451735161,2206533
20191,1147052000,21431417799,1149835
20191,1147053000,25202869619,1345101
20191,1147054000,23943541223,937433
20191,1147055000,32994208695,1108661
20191,1147056000,19047964773,944390
20191,1147057000,15886973843,731974
20191,1147058000,4784129736,293464
20191,1147059000,11827865654,625580
20191,1147060000,6214438863,320931
20191,1147061000,8629899078,399594
20191,1147061100,11586885271,648130
20191,1147062000,25140461349,982365
20191,1147063000,21228303377,661243
20191,1147064000,24013113009,1383971
20191,1147065000,67702300838,2465171
20191,1147067000,7050747133,168153
20191,1147068000,17662814431,717228
20191,1150051000,40273869019,2064742
20191,1150052000,56711779796,1613932
20191,1150053000,6286432408,388443
20191,1150053500,46232980415,1938238
20191,1150054000,57628606266,3461397
20191,1150055000,10890598744,421882
20191,1150056000,21925899481,1013989
20191,1150057000,26886033319,1209490
20191,1150059000,27504730517,1399330
20191,1150059100,30765655752,1563362
20191,1150059300,20612820997,1194190
20191,1150060300,75721961021,3262607
20191,1150060400,19988520829,1417021
20191,1150060500,6221531512,261961
20191,1150061100,128890796685,3422612
20191,1150061500,23422026543,1196602
20191,1150062000,25910132842,1217317
20191,1150063000,37085564416,1816573
20191,1150064000,18729612478,886113
20191,1150064100,7963643703,552569
20191,1153051000,29809053161,1657199
20191,1153052000,10214580952,571397
20191,1153053000,140013202194,2105952
20191,1153054000,97750460027,5247307
20191,1153055000,35873514502,1822745
20191,1153056000,59954936394,2647789
20191,1153059500,12892038905,774112
20191,1153072000,41319479393,1429214
20191,1153073000,19618146007,1176234
20191,1153074000,20650935391,1033816
20191,1153075000,17958087026,1110927
20191,1153076000,14030830695,697196
20191,1153077000,27784087767,1916990
20191,1153078000,16298699520,881993
20191,1153079000,7885472903,515796
20191,1154551000,705163041186,16432714
20191,1154561000,231876698879,3015903
20191,1154562000,14770488965,772703
20191,1154563000,29006343384,1345769
20191,1154564000,13952455793,901077
20191,1154567000,57843421958,2511664
20191,1154568000,3039838859,110476
20191,1154569000,8339229376,406270
20191,1154570000,9072696382,508730
20191,1154571000,18362670876,1128272
20191,1156051500,34166049788,2594409
20191,1156053500,236040518345,7379083
20191,1156054000,219356057766,8235814
20191,1156055000,103699268780,3362890
20191,1156056000,39197996316,2563689
20191,1156058500,12326804716,683871
20191,1156060500,86434523524,3261113
20191,1156061000,20892936466,988601
20191,1156062000,37134133343,973131
20191,1156063000,27311601164,1009583
20191,1156065000,9809295812,578162
20191,1156066000,2800530519,111797
20191,1156067000,5117743084,188614
20191,1156068000,25094290810,1243910
20191,1156069000,6160433877,468625
20191,1156070000,19612375369,1070939
20191,1156071000,25676359087,989099
20191,1156072000,96516196276,1841940
20191,1159051000,253925460885,7311501
20191,1159052000,372979878998,6082812
20191,1159053000,48355442875,2696631
20191,1159054000,19272809371,995523
20191,1159055000,25349820931,1087593
20191,1159056000,19533907567,1219012
20191,1159060500,41414385073,2608518
20191,1159062000,46202881997,1956874
20191,1159063000,52628931404,2309077
20191,1159064000,7663967700,362126
20191,1159065000,18376684277,680817
20191,1159065100,4219796412,302410
20191,1159066000,36792753241,1712238
20191,1159067000,14539071382,822515
20191,1159068000,27589323377,1588320
20191,1162052500,18431194442,1140773
20191,1162054500,3439007146,157911
20191,1162056500,7987623061,541042
20191,1162057500,30754184280,1670290
20191,1162058500,33053671076,1466855
20191,1162059500,111929634686,4073973
20191,1162060500,34093374932,1365550
20191,1162061500,30591815823,1644955
20191,1162062500,26056102492,1468822
20191,1162063000,19951786366,1018498
20191,1162064500,47390740902,3007461
20191,1162065500,10450903803,703084
20191,1162066500,12741377717,962320
20191,1162068500,25292575947,1461336
20191,1162069500,49804991017,2652203
20191,1162071500,3266666074,233171
20191,1162072500,34176272135,1575927
20191,1162073500,25033483538,2339885
20191,1162074500,7785609116,356893
20191,1162076500,19765654586,886931
20191,1162077500,10002530272,748205
20191,1165051000,60812520867,2780840
20191,1165052000,91257052478,3740370
20191,1165053000,138030095989,5175584
20191,1165053100,149266107127,4668628
20191,1165054000,51354896110,1896858
20191,1165055000,2534022969,45307
20191,1165056000,53204834344,2053243
20191,1165057000,13531507277,512579
20191,1165058000,64346175545,1805687
20191,1165058100,69613199346,2035196
20191,1165059000,38266853038,1516080
20191,1165060000,52524649452,2196386
20191,1165061000,37312681853,1037523
20191,1165062000,21619564828,479106
20191,1165062100,48857154630,1675840
20191,1165065100,80192545247,3148893
20191,1165065200,114059711717,5514954
20191,1165066000,6655127945,132408
20191,1168051000,248368193211,5355001
20191,1168052100,237747687291,5533690
20191,1168053100,134096186198,4759338
20191,1168054500,220976842410,3289994
