기준_년분기_코드,YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
20242.0,202406,1123057000,전농2동,95,499,280,199,0,0,70,385704055
20242.0,202406,1123060000,답십리1동,123,777,443,98,34,0,64,481259336
20242.0,202406,1123061000,답십리2동,128,649,512,130,2,0,69,367194404
20242.0,202406,1123065000,장안1동,366,3152,1217,255,23,0,58,242312008
20242.0,202406,1123066000,장안2동,278,2403,879,159,15,0,59,269839336
20242.0,202406,1123070500,청량리동,111,618,254,99,22,11,63,259040718
20242.0,202406,1123071000,회기동,79,545,191,29,1,0,54,195644398
20242.0,202406,1123072000,휘경1동,69,442,189,43,0,0,57,269364510
20242.0,202406,1123073000,휘경2동,210,1232,608,176,1,0,59,240740232
20242.0,202406,1123074000,이문1동,142,816,256,106,21,6,52,241674717
20242.0,202406,1123075000,이문2동,83,469,291,150,6,0,69,392500480
20242.0,202406,1126052000,면목2동,247,1960,573,21,1,0,53,169038566
20242.0,202406,1126054000,면목4동,195,1304,344,45,1,0,54,193480097
20242.0,202406,1126055000,면목5동,150,1225,213,16,0,0,51,161532570
20242.0,202406,1126056500,면목본동,490,4236,520,13,2,2,47,161046904
20242.0,202406,1126057000,면목7동,208,1360,559,52,19,0,55,206799710
20242.0,202406,1126057500,면목3?8동,244,1822,527,23,0,0,51,162903032
20242.0,202406,1126058000,상봉1동,237,1671,770,44,1,0,56,232552683
20242.0,202406,1126059000,상봉2동,284,2382,254,21,12,0,41,164323561
20242.0,202406,1126060000,중화1동,270,2075,670,29,0,0,54,176084174
20242.0,202406,1126061000,중화2동,269,2582,253,7,1,0,46,173970731
20242.0,202406,1126062000,묵1동,451,2874,954,451,3,0,58,211861425
20242.0,202406,1126063000,묵2동,246,2143,349,19,7,0,48,179173771
20242.0,202406,1126065500,망우본동,270,1791,696,73,10,0,57,184330011
20242.0,202406,1126066000,망우3동,225,1759,224,3,7,1,49,149287198
20242.0,202406,1126068000,신내1동,196,1463,706,179,18,0,63,274216702
20242.0,202406,1126069000,신내2동,77,485,212,140,62,0,68,356325541
20242.0,202406,1129052500,성북동,279,1315,634,110,108,189,78,313604379
20242.0,202406,1129055500,삼선동,217,1325,632,174,12,0,60,250711937
20242.0,202406,1129057500,동선동,180,1176,428,80,1,6,53,181189828
