YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,행정동이름,AREA_M2,LAT,LON,전체승객수,지하철승객수,버스승객수,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,생활인구합계
202408,1114059000,168000000000.0,4981742.0,127000000000.0,41103785719.0,76389282178.0,72698124641.0,광희동,752739,127.00363,37.5652,1504039,1089199,414840,10,61,18.0,6,0.0,0.0,51.0,193927273,3834303.6,2647.99,91.47,96.173,1354.15,18951379
202408,1114060500,232000000000.0,7170764.0,200000000000.0,31643155440.0,110000000000.0,67511847849.0,을지로동,599530,126.99649,37.56664,1715243,1583409,131834,1,0,11.0,0,0.0,0.0,85.0,457909091,3834303.6,2647.99,91.47,96.173,1354.15,15304766
202408,1114061500,70029391428.0,2428388.0,55331054802.0,14698336626.0,26548368960.0,38121519409.0,신당동,541354,127.01377,37.56575,797595,660325,137270,36,194,71.0,3,0.0,0.0,49.0,202648861,3834303.6,2647.99,91.47,96.173,1354.15,11489431
202408,1114062500,39172503268.0,1379757.0,30428126072.0,8744377196.0,19857285518.0,16522160581.0,다산동,546686,127.00826,37.5547,115657,0,115657,374,2274,423.0,116,44.0,99.0,64.0,207881680,3834303.6,2647.99,91.47,96.173,1354.15,9905741
202408,1114063500,26017558525.0,1149967.0,20367318754.0,5650239771.0,12229051615.0,12630625383.0,약수동,511938,127.01024,37.54984,649168,527878,121290,125,617,398.0,195,9.0,0.0,68.0,382587628,3834303.6,2647.99,91.47,96.173,1354.15,10209951
202408,1114064500,9794316451.0,314095.0,7509846776.0,2284469675.0,3967280822.0,5414694745.0,청구동,330066,127.01499,37.55686,79623,0,79623,74,346,236.0,108,1.0,0.0,68.0,433917253,3834303.6,2647.99,91.47,96.173,1354.15,10827766
202408,1114065000,28174983930.0,1171087.0,20906991937.0,7267991993.0,14093230503.0,12965793348.0,신당제5동,315652,127.02202,37.56358,187770,0,187770,64,398,229.0,40,0.0,0.0,59.0,382417416,3834303.6,2647.99,91.47,96.173,1354.15,11920671
202408,1114066500,24802438652.0,1081261.0,17977403913.0,6825034739.0,10662623809.0,13378949128.0,동화동,344934,127.01867,37.56059,256313,215303,41010,59,169,297.0,115,56.0,0.0,83.0,562530704,3834303.6,2647.99,91.47,96.173,1354.15,5270383
202408,1114067000,55718047909.0,1908096.0,42227341894.0,13490706015.0,27463849715.0,24959702791.0,황학동,314878,127.0208,37.56842,127889,0,127889,29,186,79.0,31,5.0,0.0,60.0,320745114,3834303.6,2647.99,91.47,96.173,1354.15,9179353
202408,1114068000,33380277894.0,1026480.0,24888347190.0,8491930704.0,18579161874.0,10246001564.0,중림동,492309,126.96596,37.55732,158716,0,158716,88,427,216.0,63,2.0,1.0,60.0,368461445,3834303.6,2647.99,91.47,96.173,1354.15,10868773
